data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-01-20,2021-06-30,inconsistent,0,98
2021-01-20,2021-06-30,consistent,2,8955
2021-01-19,2021-06-30,inconsistent,0,6
2021-01-19,2021-06-30,consistent,0,195
2021-01-18,2021-06-30,consistent,0,7
2021-01-17,2021-06-30,consistent,0,4
2021-01-16,2021-06-30,wrong_date,0,2
2021-01-15,2021-06-30,wrong_date,0,1
2021-01-14,2021-06-30,wrong_date,0,2
2021-01-12,2021-06-30,wrong_date,0,6
2021-01-11,2021-06-30,wrong_date,0,7
2021-01-10,2021-06-30,wrong_date,0,1
2021-01-09,2021-06-30,wrong_date,0,1
2021-01-08,2021-06-30,wrong_date,0,2
2021-01-07,2021-06-30,wrong_date,0,1
2021-01-06,2021-06-30,wrong_date,0,4
2021-01-04,2021-06-30,wrong_date,0,4
2021-01-03,2021-06-30,wrong_date,0,1
2021-01-02,2021-06-30,wrong_date,0,2
2021-01-01,2021-06-30,wrong_date,0,2
2020-12-20,2021-06-30,wrong_date,0,1
2020-04-29,2021-06-30,wrong_date,0,1
2020-03-23,2021-06-30,wrong_date,0,25
2020-01-21,2021-06-30,wrong_date,0,1
1980-03-04,2021-06-30,wrong_date,1,1
1979-01-22,2021-06-30,wrong_date,1,1
