data_aplicaçao,data_atualizacao,tipo,media_tempo_gasto,total
2021-02-22,2021-06-30,inconsistent,0,168
2021-02-22,2021-06-30,consistent,3,16108
2021-02-21,2021-06-30,consistent,3,673
2021-02-20,2021-06-30,inconsistent,0,88
2021-02-20,2021-06-30,consistent,3,5518
2021-02-19,2021-06-30,inconsistent,0,304
2021-02-19,2021-06-30,consistent,7,27798
2021-02-18,2021-06-30,inconsistent,0,472
2021-02-18,2021-06-30,consistent,5,37353
2021-02-17,2021-06-30,inconsistent,0,397
2021-02-17,2021-06-30,consistent,4,32278
2021-02-16,2021-06-30,inconsistent,0,84
2021-02-16,2021-06-30,consistent,3,12864
2021-02-15,2021-06-30,inconsistent,0,133
2021-02-15,2021-06-30,consistent,3,7831
2021-02-14,2021-06-30,inconsistent,0,6
2021-02-14,2021-06-30,consistent,2,535
2021-02-13,2021-06-30,inconsistent,0,48
2021-02-13,2021-06-30,consistent,2,8754
2021-02-12,2021-06-30,inconsistent,0,1547
2021-02-12,2021-06-30,consistent,9,36670
2021-02-11,2021-06-30,inconsistent,0,858
2021-02-11,2021-06-30,consistent,10,42737
2021-02-10,2021-06-30,inconsistent,0,1080
2021-02-10,2021-06-30,consistent,9,40553
2021-02-09,2021-06-30,inconsistent,0,269
2021-02-09,2021-06-30,consistent,3,17547
2021-02-08,2021-06-30,inconsistent,0,144
2021-02-08,2021-06-30,consistent,2,10005
2021-02-07,2021-06-30,inconsistent,0,6
2021-02-07,2021-06-30,consistent,0,413
2021-02-06,2021-06-30,inconsistent,0,34
2021-02-06,2021-06-30,consistent,1,7102
2021-02-05,2021-06-30,inconsistent,0,126
2021-02-05,2021-06-30,consistent,2,12677
2021-02-04,2021-06-30,inconsistent,0,168
2021-02-04,2021-06-30,consistent,2,15154
2021-02-03,2021-06-30,inconsistent,0,210
2021-02-03,2021-06-30,consistent,2,13483
2021-02-02,2021-06-30,inconsistent,0,194
2021-02-02,2021-06-30,consistent,1,7233
2021-02-01,2021-06-30,inconsistent,0,138
2021-02-01,2021-06-30,consistent,2,12126
2021-01-31,2021-06-30,inconsistent,0,2
2021-01-31,2021-06-30,consistent,0,124
2021-01-30,2021-06-30,inconsistent,0,4
2021-01-30,2021-06-30,consistent,1,3782
2021-01-29,2021-06-30,inconsistent,0,116
2021-01-29,2021-06-30,consistent,4,20284
2021-01-28,2021-06-30,inconsistent,0,160
2021-01-28,2021-06-30,consistent,3,19077
2021-01-27,2021-06-30,inconsistent,0,148
2021-01-27,2021-06-30,consistent,3,19495
2021-01-26,2021-06-30,inconsistent,0,110
2021-01-26,2021-06-30,consistent,3,19365
2021-01-25,2021-06-30,inconsistent,0,98
2021-01-25,2021-06-30,consistent,2,13606
2021-01-24,2021-06-30,inconsistent,0,7
2021-01-24,2021-06-30,consistent,0,477
2021-01-23,2021-06-30,inconsistent,0,22
2021-01-23,2021-06-30,consistent,1,2740
2021-01-22,2021-06-30,inconsistent,0,344
2021-01-22,2021-06-30,consistent,4,21555
2021-01-21,2021-06-30,inconsistent,0,142
2021-01-21,2021-06-30,consistent,6,29101
2021-01-20,2021-06-30,inconsistent,0,148
2021-01-20,2021-06-30,consistent,4,29961
2021-01-19,2021-06-30,inconsistent,0,16
2021-01-19,2021-06-30,consistent,0,1850
2021-01-18,2021-06-30,inconsistent,0,2
2021-01-18,2021-06-30,consistent,0,200
2021-01-17,2021-06-30,consistent,0,44
2021-01-14,2021-06-30,wrong_date,1,9
2021-01-12,2021-06-30,wrong_date,0,1
2021-01-10,2021-06-30,wrong_date,0,1
2020-03-23,2021-06-30,wrong_date,0,4
